name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-M02U39-H3CS9825-G0-A05007,10.252.80.200,switch,h3c,S9825,default,22
SH-MH-601-M02U34-H3CS9825-G0-A06007,10.252.80.201,switch,h3c,S9825,default,22
SH-MH-601-M02U29-H3CS9825-G0-A07007,10.252.80.202,switch,h3c,S9825,default,22
SH-MH-601-M02U24-H3CS9825-G0-A08007,10.252.80.203,switch,h3c,S9825,default,22
SH-MH-601-B06U29-H3CS9825-L2-01001,10.252.80.204,switch,h3c,S9825,default,22
SH-MH-601-B06U24-H3CS9825-L2-01002,10.252.80.205,switch,h3c,S9825,default,22
SH-MH-601-B07U29-H3CS9825-L2-01003,10.252.80.206,switch,h3c,S9825,default,22
SH-MH-601-B07U24-H3CS9825-L2-01004,10.252.80.207,switch,h3c,S9825,default,22
SH-MH-601-B09U29-H3CS9825-L2-01005,10.252.80.208,switch,h3c,S9825,default,22
SH-MH-601-B09U24-H3CS9825-L2-01006,10.252.80.209,switch,h3c,S9825,default,22
SH-MH-601-B10U29-H3CS9825-L2-01007,10.252.80.210,switch,h3c,S9825,default,22
SH-MH-601-B10U24-H3CS9825-L2-01008,10.252.80.211,switch,h3c,S9825,default,22
SH-MH-601-I07U29-H3CS9825-L2-01009,10.252.80.212,switch,h3c,S9825,default,22
SH-MH-601-I07U24-H3CS9825-L2-01010,10.252.80.213,switch,h3c,S9825,default,22
SH-MH-601-I09U29-H3CS9825-L2-01011,10.252.80.214,switch,h3c,S9825,default,22
SH-MH-601-I09U24-H3CS9825-L2-01012,10.252.80.215,switch,h3c,S9825,default,22
SH-MH-601-I10U29-H3CS9825-L2-01013,10.252.80.216,switch,h3c,S9825,default,22
SH-MH-601-I10U24-H3CS9825-L2-01014,10.252.80.217,switch,h3c,S9825,default,22
SH-MH-601-I11U29-H3CS9825-L2-01015,10.252.80.218,switch,h3c,S9825,default,22
SH-MH-601-I11U24-H3CS9825-L2-01016,10.252.80.219,switch,h3c,S9825,default,22
SH-MH-601-B06U19-H3CS9820-01-L1-01001,10.252.80.220,switch,h3c,S9820,default,22
SH-MH-601-B07U19-H3CS9820-01-L1-01002,10.252.80.221,switch,h3c,S9820,default,22
SH-MH-601-B09U19-H3CS9820-01-L1-01003,10.252.80.222,switch,h3c,S9820,default,22
SH-MH-601-B10U19-H3CS9820-01-L1-01004,10.252.80.223,switch,h3c,S9820,default,22
SH-MH-601-I07U19-H3CS9820-01-L1-01005,10.252.80.224,switch,h3c,S9820,default,22
SH-MH-501-L10U40-H3CS9825-GL0-09101,10.252.80.228,switch,h3c,S9825,default,22
